municipio;codEstacao;uf;nomeEstacao;latitude;longitude;datahora;valorMedida
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 00:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 01:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 02:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 03:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 03:10:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 03:20:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 03:30:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 03:40:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 03:50:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 04:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 04:10:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 04:20:00;0,2
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 04:30:00;1,3757615442561206
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 04:40:00;0,7861848622284708
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 04:50:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 05:00:00;0,4196
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 05:10:00;0,5890200000000001
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 05:20:00;0,7853600000000001
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 05:30:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 05:40:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 05:50:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 06:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 06:10:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 06:20:00;0,2
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 06:30:00;0,4196
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 06:40:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 06:50:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 07:00:00;0,39268
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 07:10:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 07:20:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 07:30:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 07:40:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 07:50:00;0,4196
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 08:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 08:10:00;0,2
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 08:20:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 08:30:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 08:40:00;0,4196
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 08:50:00;1,1780400000000002
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 09:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 09:10:00;0,4196
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 09:20:00;0,3929154234200858
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 09:30:00;0,5890200000000001
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 09:40:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 09:50:00;0,9817
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 10:00:00;0,5890200000000001
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 10:10:00;0,2
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 10:20:00;0,5890200000000001
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 10:30:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 10:40:00;0,2
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 10:50:00;0,5897424684919601
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 11:00:00;1,5728962843362404
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 11:10:00;1,1780400000000002
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 11:20:00;0,39268
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 11:30:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 12:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 13:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 13:10:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 13:20:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 13:30:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 13:40:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 13:50:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 14:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 14:10:00;0,4196
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 14:20:00;0,2
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 14:30:00;0,2
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 14:40:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 14:50:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 15:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 15:10:00;1,180972053872054
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 15:20:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 15:30:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 15:40:00;0,2
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 15:50:00;0,5890200000000001
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 16:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 17:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 18:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 19:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 20:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 21:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 22:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;01/09/2014 23:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;02/09/2014 00:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;02/09/2014 01:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;02/09/2014 02:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;02/09/2014 03:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;02/09/2014 04:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;02/09/2014 05:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;02/09/2014 06:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;02/09/2014 07:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;02/09/2014 08:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;02/09/2014 09:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;02/09/2014 09:10:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;02/09/2014 09:20:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;02/09/2014 09:30:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;02/09/2014 09:40:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;02/09/2014 09:50:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;02/09/2014 10:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;02/09/2014 10:10:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;02/09/2014 10:20:00;0,2
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;02/09/2014 10:30:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;02/09/2014 10:40:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;02/09/2014 10:50:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;02/09/2014 11:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;02/09/2014 12:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;02/09/2014 13:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;02/09/2014 14:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;02/09/2014 15:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;02/09/2014 16:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;02/09/2014 17:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;02/09/2014 18:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;02/09/2014 19:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;02/09/2014 20:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;02/09/2014 21:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;02/09/2014 22:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;02/09/2014 23:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;03/09/2014 00:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;03/09/2014 01:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;03/09/2014 02:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;03/09/2014 03:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;03/09/2014 04:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;03/09/2014 05:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;03/09/2014 06:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;03/09/2014 07:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;03/09/2014 08:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;03/09/2014 09:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;03/09/2014 10:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;03/09/2014 11:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;03/09/2014 12:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;03/09/2014 13:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;03/09/2014 14:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;03/09/2014 15:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;03/09/2014 16:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;03/09/2014 17:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;03/09/2014 18:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;03/09/2014 19:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;03/09/2014 20:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;03/09/2014 21:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;03/09/2014 22:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;03/09/2014 23:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;04/09/2014 00:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;04/09/2014 01:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;04/09/2014 02:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;04/09/2014 03:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;04/09/2014 04:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;04/09/2014 05:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;04/09/2014 06:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;04/09/2014 07:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;04/09/2014 08:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;04/09/2014 09:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;04/09/2014 10:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;04/09/2014 11:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;04/09/2014 12:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;04/09/2014 13:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;04/09/2014 14:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;04/09/2014 15:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;04/09/2014 16:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;04/09/2014 17:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;04/09/2014 18:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;04/09/2014 19:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;04/09/2014 20:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;04/09/2014 21:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;04/09/2014 22:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;04/09/2014 23:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;05/09/2014 00:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;05/09/2014 01:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;05/09/2014 02:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;05/09/2014 03:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;05/09/2014 04:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;05/09/2014 05:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;05/09/2014 06:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;05/09/2014 07:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;05/09/2014 08:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;05/09/2014 09:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;05/09/2014 10:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;05/09/2014 11:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;05/09/2014 12:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;05/09/2014 13:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;05/09/2014 14:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;05/09/2014 15:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;05/09/2014 16:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;05/09/2014 17:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;05/09/2014 18:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;05/09/2014 19:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;05/09/2014 20:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;05/09/2014 21:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;05/09/2014 22:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;05/09/2014 23:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;06/09/2014 00:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;06/09/2014 01:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;06/09/2014 02:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;06/09/2014 03:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;06/09/2014 04:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;06/09/2014 05:00:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;06/09/2014 05:10:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;06/09/2014 05:20:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;06/09/2014 05:30:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;06/09/2014 05:40:00;0,0
RECIFE;261160619A;PE;San Martin;-8,073;-34,925;06/09/2014 05:50:00;0,0
