municipio;codEstacao;uf;nomeEstacao;latitude;longitude;datahora;valorMedida
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-01 00:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-01 01:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-01 02:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-01 03:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-01 04:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-01 05:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-01 06:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-01 07:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-01 08:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-01 09:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-01 10:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-01 11:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-01 12:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-01 13:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-01 14:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-01 15:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-01 16:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-01 17:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-01 18:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-01 19:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-01 20:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-01 21:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-01 22:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-01 23:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-02 00:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-02 01:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-02 01:10:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-02 01:20:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-02 01:30:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-02 01:40:00.0;0,4
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-02 01:50:00.0;0,39
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-02 02:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-02 02:10:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-02 02:20:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-02 02:30:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-02 02:40:00.0;2,36
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-02 02:50:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-02 03:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-02 03:10:00.0;1,57
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-02 03:20:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-02 04:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-02 04:10:00.0;0,2
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-02 04:20:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-02 05:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-02 06:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-02 07:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-02 08:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-02 09:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-02 09:10:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-02 09:20:00.0;0,2
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-02 09:30:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-02 10:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-02 11:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-02 12:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-02 13:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-02 14:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-02 14:10:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-02 14:20:00.0;0,2
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-02 14:30:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-02 15:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-02 16:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2016-09-02 17:00:00.0;0,0
